reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0013,Justice Health Services,False,-33.96907,151.243206,Justice Health & Forensic Mental Health,Central and Eastern Sydney,,health.nsw.gov.au,unknown,lhn:justice health & forensic mental health,True
H0014,The Children's Hospital at Westmead,False,-33.801554,150.991759,Sydney Children's Hospitals Network,Western Sydney,,health.nsw.gov.au,unknown,lhn:sydney children's hospitals network,True
H0015,Sydney Children's Hospital,False,-33.917179,151.238334,Sydney Children's Hospitals Network,Central and Eastern Sydney,,health.nsw.gov.au,unknown,lhn:sydney children's hospitals network,True
H0016,Sacred Heart Health Service,False,-33.880525,151.219237,Unknown,Central and Eastern Sydney,,,unknown,,False
H0017,St Vincent's Hospital [Darlinghurst],False,-33.879692,151.221125,St Vincent's Health Network,Central and Eastern Sydney,,svha.org.au,tertiary,lhn:st vincent's health network,True
H0018,St Joseph's Hospital,False,-33.848659,151.028339,St Vincent's Health Network,Western Sydney,,svha.org.au,unknown,lhn:st vincent's health network,True
H0019,Balmain Hospital,False,-33.859469,151.181469,Sydney,Central and Eastern Sydney,,health.nsw.gov.au,unknown,lhn:sydney,True
H0020,Canterbury Hospital,False,-33.919592,151.098275,Sydney,Central and Eastern Sydney,,health.nsw.gov.au,unknown,lhn:sydney,True
H0021,Royal Prince Alfred Hospital,False,-33.889251,151.182926,Sydney,Central and Eastern Sydney,,health.nsw.gov.au,tertiary,lhn:sydney,True
H0022,Tresillian Care Centres,False,-33.918732,151.097526,Sydney,Central and Eastern Sydney,,health.nsw.gov.au,unknown,lhn:sydney,True
H0023,Concord Repatriation Hospital,False,-33.837288,151.092664,Sydney,Central and Eastern Sydney,,health.nsw.gov.au,unknown,lhn:sydney,True
H0024,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,False,-33.88828,151.180707,Sydney,Central and Eastern Sydney,,health.nsw.gov.au,tertiary,lhn:sydney,True
H0025,Karitane,False,-33.879777,150.965763,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0026,Camden Hospital,False,-34.062702,150.693297,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0027,Fairfield Hospital,False,-33.860117,150.904339,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0028,Liverpool Hospital,False,-33.919966,150.930776,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0029,Campbelltown Hospital,False,-34.077651,150.806321,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0030,Bankstown Lidcombe Hospital,False,-33.933088,151.020823,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0031,Braeside Hospital,False,-33.861917,150.902192,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
H0032,Bowral Hospital,False,-34.485043,150.423796,South Western Sydney,South Western Sydney,,health.nsw.gov.au,unknown,lhn:south western sydney,True
