reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0013,Justice Health Services,False,False,-33.96907,151.243206,LHN119,Justice Health & Forensic Mental Health,PHN101,Central and Eastern Sydney
H0014,The Children's Hospital at Westmead,False,False,-33.801554,150.991759,LHN117,Sydney Children's Hospitals Network,PHN103,Western Sydney
H0015,Sydney Children's Hospital,False,False,-33.917179,151.238334,LHN117,Sydney Children's Hospitals Network,PHN101,Central and Eastern Sydney
H0016,Sacred Heart Health Service,False,False,-33.880525,151.219237,LHN998,Unknown,PHN101,Central and Eastern Sydney
H0017,St Vincent's Hospital [Darlinghurst],False,False,-33.879692,151.221125,LHN118,St Vincent's Health Network,PHN101,Central and Eastern Sydney
H0018,St Joseph's Hospital,False,False,-33.848659,151.028339,LHN118,St Vincent's Health Network,PHN103,Western Sydney
H0019,Balmain Hospital,False,False,-33.859469,151.181469,LHN102,Sydney,PHN101,Central and Eastern Sydney
H0020,Canterbury Hospital,False,False,-33.919592,151.098275,LHN102,Sydney,PHN101,Central and Eastern Sydney
H0021,Royal Prince Alfred Hospital,False,False,-33.889251,151.182926,LHN102,Sydney,PHN101,Central and Eastern Sydney
H0022,Tresillian Care Centres,False,False,-33.918732,151.097526,LHN102,Sydney,PHN101,Central and Eastern Sydney
H0023,Concord Repatriation Hospital,False,False,-33.837288,151.092664,LHN102,Sydney,PHN101,Central and Eastern Sydney
H0024,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,False,False,-33.88828,151.180707,LHN102,Sydney,PHN101,Central and Eastern Sydney
H0025,Karitane,False,False,-33.879777,150.965763,LHN103,South Western Sydney,PHN105,South Western Sydney
H0026,Camden Hospital,False,False,-34.062702,150.693297,LHN103,South Western Sydney,PHN105,South Western Sydney
H0027,Fairfield Hospital,False,False,-33.860117,150.904339,LHN103,South Western Sydney,PHN105,South Western Sydney
H0028,Liverpool Hospital,False,False,-33.919966,150.930776,LHN103,South Western Sydney,PHN105,South Western Sydney
H0029,Campbelltown Hospital,False,False,-34.077651,150.806321,LHN103,South Western Sydney,PHN105,South Western Sydney
H0030,Bankstown Lidcombe Hospital,False,False,-33.933088,151.020823,LHN103,South Western Sydney,PHN105,South Western Sydney
H0031,Braeside Hospital,False,False,-33.861917,150.902192,LHN103,South Western Sydney,PHN105,South Western Sydney
H0032,Bowral Hospital,False,False,-34.485043,150.423796,LHN103,South Western Sydney,PHN105,South Western Sydney
H0033,Sydney Hospital / Sydney Eye Hospital,False,False,-33.867929,151.212575,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0034,Calvary Health Care - Sydney,False,False,-33.976132,151.136206,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0035,Gower Wilson Multi Purpose Service,False,False,-31.535603,159.071307,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0036,War Memorial Hospital,False,False,-33.897496,151.253816,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0037,Prince of Wales Hospital,False,False,-33.918492,151.23938,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0038,St George Hospital NSW,False,False,-33.966969,151.133776,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0039,Sutherland Hospital,False,False,-34.037288,151.115151,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0040,Royal Hospital for Women,False,False,-33.919035,151.237938,LHN101,South Eastern Sydney,PHN101,Central and Eastern Sydney
H0041,Bulli Hospital,False,False,-34.336667,150.907344,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0042,Coledale Hospital,False,False,-34.283797,150.950796,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0043,Kiama Hospital,False,False,-34.682937,150.850514,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0044,Milton Ulladulla Hospital,False,False,-35.317313,150.438918,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0045,Port Kembla Hospital,False,False,-34.485923,150.881778,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0046,Shoalhaven Hospital,False,False,-34.868767,150.595736,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0047,Wollongong Hospital,False,False,-34.424938,150.883451,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0048,Shellharbour Hospital,False,False,-34.558987,150.840947,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0049,Illawarra Mental Health Services,False,False,-34.42623,150.891252,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0050,David Berry Hospital,False,False,-34.775909,150.712819,LHN108,Illawarra Shoalhaven,PHN106,South Eastern NSW
H0051,Auburn Hospital,False,False,-33.859867,151.033204,LHN104,Western Sydney,PHN103,Western Sydney
H0052,Blacktown Hospital,False,False,-33.775552,150.917537,LHN104,Western Sydney,PHN103,Western Sydney
H0053,Mount Druitt Hospital,False,False,-33.765929,150.829646,LHN104,Western Sydney,PHN103,Western Sydney
H0054,Westmead Hospital,False,False,-33.804362,150.987811,LHN104,Western Sydney,PHN103,Western Sydney
