reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0385,Mater Adult Hospital,False,-27.485488,153.028103,Not applicable,Brisbane South,,,unknown,,False
H0387,Mater Mothers' Hospital,False,-27.485436,153.027001,Not applicable,Brisbane South,,,unknown,,False
H0388,The Prince Charles Hospital,False,-27.390497,153.021955,Metro North (Qld),Brisbane North,,health.qld.gov.au,unknown,lhn:metro north (qld),True
H0390,Princess Alexandra Hospital,False,-27.499402,153.033542,Metro South (Qld),Brisbane South,,health.qld.gov.au,unknown,lhn:metro south (qld),True
H0391,Ipswich Hospital,False,-27.619465,152.759313,West Moreton,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:west moreton,True
H0392,Redcliffe Hospital,False,-27.228269,153.105245,Metro North (Qld),Brisbane North,,health.qld.gov.au,unknown,lhn:metro north (qld),True
H0393,Ellen Barron Family Centre,False,-27.385905,153.025152,Children's Health Queensland,Brisbane North,,health.qld.gov.au,unknown,lhn:children's health queensland,True
H0394,Queen Elizabeth II Jubilee Hospital,False,-27.559673,153.048852,Metro South (Qld),Brisbane South,,health.qld.gov.au,unknown,lhn:metro south (qld),True
H0397,Redland Hospital,False,-27.539992,153.251379,Metro South (Qld),Brisbane South,,health.qld.gov.au,unknown,lhn:metro south (qld),True
H0398,Logan Hospital,False,-27.670169,153.141732,Metro South (Qld),Brisbane South,,health.qld.gov.au,unknown,lhn:metro south (qld),True
H0399,Caboolture Hospital,False,-27.080776,152.963623,Metro North (Qld),Brisbane North,,health.qld.gov.au,unknown,lhn:metro north (qld),True
H0400,Beaudesert Hospital,False,-27.984869,153.002536,Metro South (Qld),Brisbane South,,health.qld.gov.au,unknown,lhn:metro south (qld),True
H0401,Boonah Hospital,False,-27.999128,152.678943,West Moreton,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:west moreton,True
H0402,Caloundra Hospital,False,-26.800582,153.119759,Sunshine Coast,"Central Queensland, Wide Bay and Sunshine Coast",,health.qld.gov.au,unknown,lhn:sunshine coast,True
H0403,Esk Hospital,False,-27.240398,152.418179,West Moreton,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:west moreton,True
H0404,Gatton Hospital,False,-27.566778,152.276269,West Moreton,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:west moreton,True
H0405,Kilcoy Hospital,False,-26.941009,152.561495,Metro North (Qld),Brisbane North,,health.qld.gov.au,unknown,lhn:metro north (qld),True
H0406,Laidley Hospital,False,-27.632725,152.400015,West Moreton,Darling Downs and West Moreton,,health.qld.gov.au,unknown,lhn:west moreton,True
