reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0385,Mater Adult Hospital,False,False,-27.485488,153.028103,LHN997,Not applicable,PHN302,Brisbane South
H0387,Mater Mothers' Hospital,False,False,-27.485436,153.027001,LHN997,Not applicable,PHN302,Brisbane South
H0388,The Prince Charles Hospital,False,False,-27.390497,153.021955,LHN320,Metro North (Qld),PHN301,Brisbane North
H0390,Princess Alexandra Hospital,False,False,-27.499402,153.033542,LHN322,Metro South (Qld),PHN302,Brisbane South
H0391,Ipswich Hospital,False,False,-27.619465,152.759313,LHN324,West Moreton,PHN304,Darling Downs and West Moreton
H0392,Redcliffe Hospital,False,False,-27.228269,153.105245,LHN320,Metro North (Qld),PHN301,Brisbane North
H0393,Ellen Barron Family Centre,False,False,-27.385905,153.025152,LHN321,Children's Health Queensland,PHN301,Brisbane North
H0394,Queen Elizabeth II Jubilee Hospital,False,False,-27.559673,153.048852,LHN322,Metro South (Qld),PHN302,Brisbane South
H0397,Redland Hospital,False,False,-27.539992,153.251379,LHN322,Metro South (Qld),PHN302,Brisbane South
H0398,Logan Hospital,False,False,-27.670169,153.141732,LHN322,Metro South (Qld),PHN302,Brisbane South
H0399,Caboolture Hospital,False,False,-27.080776,152.963623,LHN320,Metro North (Qld),PHN301,Brisbane North
H0400,Beaudesert Hospital,False,False,-27.984869,153.002536,LHN322,Metro South (Qld),PHN302,Brisbane South
H0401,Boonah Hospital,False,False,-27.999128,152.678943,LHN324,West Moreton,PHN304,Darling Downs and West Moreton
H0402,Caloundra Hospital,False,False,-26.800582,153.119759,LHN319,Sunshine Coast,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0403,Esk Hospital,False,False,-27.240398,152.418179,LHN324,West Moreton,PHN304,Darling Downs and West Moreton
H0404,Gatton Hospital,False,False,-27.566778,152.276269,LHN324,West Moreton,PHN304,Darling Downs and West Moreton
H0405,Kilcoy Hospital,False,False,-26.941009,152.561495,LHN320,Metro North (Qld),PHN301,Brisbane North
H0406,Laidley Hospital,False,False,-27.632725,152.400015,LHN324,West Moreton,PHN304,Darling Downs and West Moreton
H0407,Maleny Hospital,False,False,-26.754893,152.844972,LHN319,Sunshine Coast,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0408,Nambour General Hospital,False,False,-26.621659,152.952249,LHN319,Sunshine Coast,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0409,Gold Coast University Hospital,False,False,-27.958896,153.381173,LHN323,Gold Coast,PHN303,Gold Coast
H0410,Biggenden Hospital,False,False,-25.506406,152.051099,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0411,Bundaberg Base Hospital,False,False,-24.868877,152.336157,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0412,Cherbourg Hospital,False,False,-26.291519,151.956324,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0413,Childers Hospital,False,False,-25.239416,152.273286,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0414,Eidsvold Hospital,False,False,-25.382639,151.125494,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0415,Gayndah Hospital,False,False,-25.631384,151.604531,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0416,Gin Gin Hospital,False,False,-24.985707,151.953449,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0417,Gympie Hospital,False,False,-26.184353,152.658258,LHN319,Sunshine Coast,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0418,Hervey Bay Hospital,False,False,-25.298697,152.820639,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0419,Kingaroy Hospital,False,False,-26.532454,151.838307,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0420,Maryborough Hospital,False,False,-25.522131,152.689855,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0421,Monto Hospital,False,False,-24.866424,151.112501,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0423,Mundubbera Hospital,False,False,-25.587619,151.293282,LHN318,Wide Bay,PHN306,"Central Queensland, Wide Bay and Sunshine Coast"
H0424,Murgon Hospital,False,False,-26.239075,151.950702,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0425,Nanango Hospital,False,False,-26.666405,152.007833,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0426,Wondai Hospital,False,False,-26.323335,151.878658,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0427,Chinchilla Hospital,False,False,-26.741337,150.634939,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0428,Dalby Hospital,False,False,-27.167153,151.278905,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0429,Goondiwindi Hospital,False,False,-28.547951,150.302302,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0430,Inglewood Hospital,False,False,-28.41764722,151.0618556,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0431,Jandowae Hospital,False,False,-26.781016,151.105313,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0432,Miles Hospital,False,False,-26.658236,150.191023,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0433,Millmerran Hospital,False,False,-27.878928,151.26267,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0434,Oakey Hospital,False,False,-27.424079,151.719088,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0435,Stanthorpe Hospital,False,False,-28.660927,151.928397,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0436,Tara Hospital,False,False,-27.273674,150.456368,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
H0437,Taroom Hospital,False,False,-25.638818,149.798669,LHN325,Darling Downs,PHN304,Darling Downs and West Moreton
