reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0538,Hampstead Rehabilitation Centre,False,-34.860704,138.620381,Central Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:central adelaide,True
H0539,The Queen Elizabeth Hospital,False,-34.884179,138.534039,Central Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:central adelaide,True
H0540,Royal Adelaide Hospital,False,-34.920973,138.587393,Central Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:central adelaide,True
H0541,Lyell McEwin Hospital,False,-34.747607,138.664798,Northern Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:northern adelaide,True
H0542,Modbury Hospital,False,-34.834166,138.690505,Northern Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:northern adelaide,True
H0543,Pregnancy Advisory Centre,False,-34.87999,138.542962,Central Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:central adelaide,True
H0544,St Margaret's Hospital,False,-34.846418,138.480466,Central Adelaide,Adelaide,,sahealth.sa.gov.au,unknown,lhn:central adelaide,True
H0545,Women's and Children's Hospital,False,-34.911444,138.599631,Women's and Children's Health Network (SA),Adelaide,,sahealth.sa.gov.au,unknown,lhn:women's and children's health network (sa),True
H0546,Wudinna Hospital,False,-33.050274,135.466983,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0547,Cleve District Hospital and Aged Care,False,-33.697779,136.494162,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0548,Cowell District Hospital and Aged Care,False,-33.685299,136.921405,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0549,Cummins and District Memorial Hospital,False,-34.264155,135.73316,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0550,Elliston Hospital,False,-33.647912,134.892443,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0551,Kimba District Hospital and Aged Care,False,-33.143552,136.416013,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0552,Ceduna District Health Service,False,-32.119099,133.672317,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0553,Port Lincoln Health Service,False,-34.72408,135.850201,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0554,Streaky Bay Hospital,False,-32.792776,134.217524,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0555,Tumby Bay Hospital and Health Services,False,-34.372292,136.103932,Eyre and Far North,Country SA,,sahealth.sa.gov.au,unknown,lhn:eyre and far north,True
H0556,Gumeracha District Soldiers' Memorial Hospital,False,-34.826269,138.881575,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0557,Kangaroo Island Health Service,False,-35.652693,137.641289,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0558,Karoonda and District Soldiers' Memorial Hospital,False,-35.094226,139.889429,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0559,Lameroo District Health Service,False,-35.328203,140.514643,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0560,Tailem Bend District Hospital,False,-35.254803,139.452692,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0561,Mannum District Hospital,False,-34.916481,139.308614,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0562,Meningie and Districts Memorial Hospital and Health Services,False,-35.693212,139.335565,Riverland Mallee Coorong,Country SA,,sahealth.sa.gov.au,unknown,lhn:riverland mallee coorong,True
H0563,Mount Barker District Soldiers' Memorial Hospital,False,-35.081813,138.870277,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
H0564,Mount Pleasant District Hospital,False,-34.773855,139.054212,Barossa Hills Fleurieu,Country SA,,sahealth.sa.gov.au,unknown,lhn:barossa hills fleurieu,True
