reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0538,Hampstead Rehabilitation Centre,False,False,-34.860704,138.620381,LHN402,Central Adelaide,PHN401,Adelaide
H0539,The Queen Elizabeth Hospital,False,False,-34.884179,138.534039,LHN402,Central Adelaide,PHN401,Adelaide
H0540,Royal Adelaide Hospital,False,False,-34.920973,138.587393,LHN402,Central Adelaide,PHN401,Adelaide
H0541,Lyell McEwin Hospital,False,False,-34.747607,138.664798,LHN401,Northern Adelaide,PHN401,Adelaide
H0542,Modbury Hospital,False,False,-34.834166,138.690505,LHN401,Northern Adelaide,PHN401,Adelaide
H0543,Pregnancy Advisory Centre,False,False,-34.87999,138.542962,LHN402,Central Adelaide,PHN401,Adelaide
H0544,St Margaret's Hospital,False,False,-34.846418,138.480466,LHN402,Central Adelaide,PHN401,Adelaide
H0545,Women's and Children's Hospital,False,False,-34.911444,138.599631,LHN405,Women's and Children's Health Network (SA),PHN401,Adelaide
H0546,Wudinna Hospital,False,False,-33.050274,135.466983,LHN407,Eyre and Far North,PHN402,Country SA
H0547,Cleve District Hospital and Aged Care,False,False,-33.697779,136.494162,LHN407,Eyre and Far North,PHN402,Country SA
H0548,Cowell District Hospital and Aged Care,False,False,-33.685299,136.921405,LHN407,Eyre and Far North,PHN402,Country SA
H0549,Cummins and District Memorial Hospital,False,False,-34.264155,135.73316,LHN407,Eyre and Far North,PHN402,Country SA
H0550,Elliston Hospital,False,False,-33.647912,134.892443,LHN407,Eyre and Far North,PHN402,Country SA
H0551,Kimba District Hospital and Aged Care,False,False,-33.143552,136.416013,LHN407,Eyre and Far North,PHN402,Country SA
H0552,Ceduna District Health Service,False,False,-32.119099,133.672317,LHN407,Eyre and Far North,PHN402,Country SA
H0553,Port Lincoln Health Service,False,False,-34.72408,135.850201,LHN407,Eyre and Far North,PHN402,Country SA
H0554,Streaky Bay Hospital,False,False,-32.792776,134.217524,LHN407,Eyre and Far North,PHN402,Country SA
H0555,Tumby Bay Hospital and Health Services,False,False,-34.372292,136.103932,LHN407,Eyre and Far North,PHN402,Country SA
H0556,Gumeracha District Soldiers' Memorial Hospital,False,False,-34.826269,138.881575,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0557,Kangaroo Island Health Service,False,False,-35.652693,137.641289,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0558,Karoonda and District Soldiers' Memorial Hospital,False,False,-35.094226,139.889429,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0559,Lameroo District Health Service,False,False,-35.328203,140.514643,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0560,Tailem Bend District Hospital,False,False,-35.254803,139.452692,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0561,Mannum District Hospital,False,False,-34.916481,139.308614,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0562,Meningie and Districts Memorial Hospital and Health Services,False,False,-35.693212,139.335565,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0563,Mount Barker District Soldiers' Memorial Hospital,False,False,-35.081813,138.870277,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0564,Mount Pleasant District Hospital,False,False,-34.773855,139.054212,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0565,Murray Bridge Soldiers' Memorial Hospital,False,False,-35.128911,139.280462,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0566,Pinnaroo Soldiers' Memorial Hospital,False,False,-35.257499,140.902447,LHN409,Riverland Mallee Coorong,PHN402,Country SA
H0567,South Coast District Hospital,False,False,-35.561171,138.606447,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0568,Strathalbyn and District Health Service,False,False,-35.257674,138.893558,LHN406,Barossa Hills Fleurieu,PHN402,Country SA
H0569,Booleroo Centre District Hospital and Health Services,False,False,-32.877911,138.350958,LHN411,Yorke and Northern,PHN402,Country SA
