reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0233,Western District Health Service [Hamilton],False,-37.736495,142.030606,Western District Health Service (Vic),Western Victoria,Western District Health Service,wdhs.net,rural_public,exact_lhn,True
H0234,Western District Health Service [Penshurst],False,-37.877275,142.282487,Western District Health Service (Vic),Western Victoria,Western District Health Service,wdhs.net,rural_public,exact_lhn,True
H0235,Colac Area Health,False,-38.341201,143.582854,Colac Area Health,Western Victoria,,,unknown,ddg_search_failed,False
H0236,Hesse Rural Health Service [Winchelsea],False,-38.243369,143.985357,Hesse Rural Health Service (Winchelsea),Western Victoria,Hesse Rural Health Service,hesseruralhealth.net.au,rural_public,exact_lhn,True
H0237,Otway Health & Community Services [Apollo Bay],False,-38.753853,143.664264,Great Ocean Road Health,Western Victoria,Great Ocean Road Health,greatoceanroadhealth.com.au,rural_public,exact_lhn,True
H0238,University Hospital Geelong,False,-38.151533,144.364964,Barwon Health,Western Victoria,Barwon Health,barwonhealth.org.au,rural_public,exact_lhn,True
H0239,Casterton Memorial Hospital,False,-37.589989,141.392283,Casterton Memorial Hospital,Western Victoria,Casterton Memorial Hospital,casterton.org.au,rural_public,exact_lhn,True
H0240,Western District Health Service [Coleraine],False,-37.599913,141.692018,Western District Health Service (Vic),Western Victoria,Western District Health Service,wdhs.net,rural_public,exact_lhn,True
H0241,South West Healthcare [Warrnambool],False,-38.380085,142.472977,South West Healthcare (Vic),Western Victoria,South West Healthcare,southwesthealthcare.com.au,rural_public,exact_lhn,True
H0242,Beaufort & Skipton Health Service [Skipton],False,-37.683998,143.367547,Beaufort and Skipton Health Service,Western Victoria,Beaufort and Skipton Health Service,bshs.org.au,rural_public,exact_lhn,True
H0243,Heywood Rural Health,False,-38.137788,141.624256,Heywood Rural Health,Western Victoria,,heywoodruralhealth.vic.gov.au,unknown,public_override:heywood rural,True
H0244,Timboon & District Healthcare Service,False,-38.486231,142.976717,Timboon and District Healthcare Service,Western Victoria,Timboon and District Healthcare Service,timboonhealthcare.com.au,rural_public,exact_lhn,True
H0245,Moyne Health Services [Port Fairy],False,-38.381599,142.227523,Moyne Health Services (Port Fairy),Western Victoria,,moynehealth.vic.gov.au,unknown,public_override:moyne health,True
H0246,Portland District Health,False,-38.340713,141.606087,Portland District Health,Western Victoria,Portland District Health,pdh.net.au,rural_public,exact_lhn,True
