reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0233,Western District Health Service [Hamilton],False,False,-37.736495,142.030606,LHN282,Western District Health Service (Vic),PHN206,Western Victoria
H0234,Western District Health Service [Penshurst],False,False,-37.877275,142.282487,LHN282,Western District Health Service (Vic),PHN206,Western Victoria
H0235,Colac Area Health,False,False,-38.341201,143.582854,LHN228,Colac Area Health,PHN206,Western Victoria
H0236,Hesse Rural Health Service [Winchelsea],False,False,-38.243369,143.985357,LHN229,Hesse Rural Health Service (Winchelsea),PHN206,Western Victoria
H0237,Otway Health & Community Services [Apollo Bay],False,False,-38.753853,143.664264,LHN292,Great Ocean Road Health,PHN206,Western Victoria
H0238,University Hospital Geelong,False,False,-38.151533,144.364964,LHN231,Barwon Health,PHN206,Western Victoria
H0239,Casterton Memorial Hospital,False,False,-37.589989,141.392283,LHN283,Casterton Memorial Hospital,PHN206,Western Victoria
H0240,Western District Health Service [Coleraine],False,False,-37.599913,141.692018,LHN282,Western District Health Service (Vic),PHN206,Western Victoria
H0241,South West Healthcare [Warrnambool],False,False,-38.380085,142.472977,LHN284,South West Healthcare (Vic),PHN206,Western Victoria
H0242,Beaufort & Skipton Health Service [Skipton],False,False,-37.683998,143.367547,LHN201,Beaufort and Skipton Health Service,PHN206,Western Victoria
H0243,Heywood Rural Health,False,False,-38.137788,141.624256,LHN285,Heywood Rural Health,PHN206,Western Victoria
H0244,Timboon & District Healthcare Service,False,False,-38.486231,142.976717,LHN286,Timboon and District Healthcare Service,PHN206,Western Victoria
H0245,Moyne Health Services [Port Fairy],False,False,-38.381599,142.227523,LHN287,Moyne Health Services (Port Fairy),PHN206,Western Victoria
H0246,Portland District Health,False,False,-38.340713,141.606087,LHN288,Portland District Health,PHN206,Western Victoria
H0247,Lorne Community Hospital,False,False,-38.545513,143.980743,LHN292,Great Ocean Road Health,PHN206,Western Victoria
H0248,The McKellar Centre,False,False,-38.118795,144.335728,LHN231,Barwon Health,PHN206,Western Victoria
H0249,South West Healthcare [Camperdown],False,False,-38.237101,143.137714,LHN284,South West Healthcare (Vic),PHN206,Western Victoria
H0250,Terang & Mortlake Health Service [Terang],False,False,-38.239388,142.902119,LHN289,Terang and Mortlake Health Service (Terang),PHN206,Western Victoria
H0251,East Grampians Health Service [Ararat],False,False,-37.278816,142.932858,LHN202,East Grampians Health Service,PHN206,Western Victoria
H0252,East Grampians Health Service [Willaura],False,False,-37.544798,142.74587,LHN202,East Grampians Health Service,PHN206,Western Victoria
H0253,Rural Northwest Health [Warracknabeal],False,False,-36.252614,142.381609,LHN274,Rural Northwest Health (Vic),PHN206,Western Victoria
H0254,Rural Northwest Health [Hopetoun],False,False,-35.732201,142.366411,LHN274,Rural Northwest Health (Vic),PHN206,Western Victoria
H0255,Ballarat Health Services [Base Hospital],False,False,-37.559658,143.847041,LHN294,Grampians Health,PHN206,Western Victoria
H0256,Ballarat Health Services [Queen Elizabeth Campus],False,False,-37.564276,143.843264,LHN294,Grampians Health,PHN206,Western Victoria
H0257,Wimmera Base Hospital [Horsham],False,False,-36.712441,142.208522,LHN294,Grampians Health,PHN206,Western Victoria
H0258,West Wimmera Health Service [Rupanyup],False,False,-36.636571,142.631849,LHN277,West Wimmera Health Service,PHN206,Western Victoria
H0259,Stawell Regional Health,False,False,-37.059577,142.781603,LHN294,Grampians Health,PHN206,Western Victoria
H0260,West Wimmera Health Service [Nhill],False,False,-36.334003,141.655579,LHN277,West Wimmera Health Service,PHN206,Western Victoria
H0261,West Wimmera Health Service [Kaniva],False,False,-36.381386,141.246006,LHN277,West Wimmera Health Service,PHN206,Western Victoria
H0262,West Wimmera Health Service [Jeparit],False,False,-36.141132,141.984686,LHN277,West Wimmera Health Service,PHN206,Western Victoria
H0263,West Wimmera Health Service [Rainbow],False,False,-35.903874,141.995112,LHN277,West Wimmera Health Service,PHN206,Western Victoria
H0264,East Wimmera Health Service [St Arnaud],False,False,-36.609275,143.246676,LHN205,East Wimmera Health Service,PHN206,Western Victoria
H0265,Djerriwarrh Health Service [Bacchus Marsh],False,False,-37.678267,144.433264,LHN209,Western Health (Vic),PHN201,North Western Melbourne
H0266,Beaufort & Skipton Health Service [Beaufort],False,False,-37.431028,143.382284,LHN201,Beaufort and Skipton Health Service,PHN206,Western Victoria
H0267,Dimboola District Hospital,False,False,-36.449887,142.024286,LHN294,Grampians Health,PHN206,Western Victoria
H0268,Edenhope and District Memorial Hospital,False,False,-37.035323,141.288829,LHN294,Grampians Health,PHN206,Western Victoria
H0269,Melton Health,False,False,-37.686449,144.558284,LHN209,Western Health (Vic),PHN201,North Western Melbourne
H0270,Daylesford District Hospital,False,False,-37.337365,144.145774,LHN293,Central Highlands Rural Health,PHN206,Western Victoria
