reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H0012,State Forensic Mental Health Service,False,-31.960937,115.788431,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0620,King Edward Memorial Hospital,False,-31.950093,115.818576,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0621,Sir Charles Gairdner Hospital,False,-31.968291,115.815467,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0623,Selby Authorised Lodge,False,-31.958204,115.80199,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0624,Osborne Park Hospital,False,-31.885976,115.804717,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0626,Kalamunda Hospital,False,-31.966471,116.060267,East Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:east metropolitan health service (wa),True
H0627,"Next Step Drug And Alcohol Services, East Perth",False,-31.953405,115.869171,East Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:east metropolitan health service (wa),True
H0628,Joondalup Health Campus (Public),False,-31.738788,115.771737,North Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:north metropolitan health service (wa),True
H0632,Royal Perth Hospital Wellington Street Campus,False,-31.954242,115.8663,East Metropolitan Health Service (WA),Perth North,,health.wa.gov.au,unknown,lhn:east metropolitan health service (wa),True
H0633,Fremantle Hospital and Health Service,False,-32.058263,115.751448,South Metropolitan Health Service (WA),Perth South,,health.wa.gov.au,unknown,lhn:south metropolitan health service (wa),True
H0635,Armadale-Kelmscott Memorial Hospital,False,-32.133212,116.020023,East Metropolitan Health Service (WA),Perth South,,health.wa.gov.au,unknown,lhn:east metropolitan health service (wa),True
