reporting_unit_code,name,private,closed,latitude,longitude,lhn_code,lhn_name,phn_code,phn_name
H0012,State Forensic Mental Health Service,False,False,-31.960937,115.788431,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0620,King Edward Memorial Hospital,False,False,-31.950093,115.818576,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0621,Sir Charles Gairdner Hospital,False,False,-31.968291,115.815467,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0623,Selby Authorised Lodge,False,False,-31.958204,115.80199,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0624,Osborne Park Hospital,False,False,-31.885976,115.804717,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0626,Kalamunda Hospital,False,False,-31.966471,116.060267,LHN504,East Metropolitan Health Service (WA),PHN501,Perth North
H0627,"Next Step Drug And Alcohol Services, East Perth",False,False,-31.953405,115.869171,LHN504,East Metropolitan Health Service (WA),PHN501,Perth North
H0628,Joondalup Health Campus (Public),False,False,-31.738788,115.771737,LHN501,North Metropolitan Health Service (WA),PHN501,Perth North
H0632,Royal Perth Hospital Wellington Street Campus,False,False,-31.954242,115.8663,LHN504,East Metropolitan Health Service (WA),PHN501,Perth North
H0633,Fremantle Hospital and Health Service,False,False,-32.058263,115.751448,LHN502,South Metropolitan Health Service (WA),PHN502,Perth South
H0635,Armadale-Kelmscott Memorial Hospital,False,False,-32.133212,116.020023,LHN504,East Metropolitan Health Service (WA),PHN502,Perth South
H0636,Bentley Health Service,False,False,-32.005332,115.927922,LHN504,East Metropolitan Health Service (WA),PHN502,Perth South
H0637,Rockingham General Hospital,False,False,-32.291359,115.770899,LHN502,South Metropolitan Health Service (WA),PHN502,Perth South
H0638,Murray District Hospital,False,False,-32.639709,115.871589,LHN502,South Metropolitan Health Service (WA),PHN502,Perth South
H0639,Peel Health Campus,False,False,-32.532573,115.763504,LHN502,South Metropolitan Health Service (WA),PHN502,Perth South
H0642,Fitzroy Crossing Hospital,False,False,-18.191439,125.562765,LHN503,WA Country Health Service,PHN503,Country WA
H0643,Halls Creek Hospital,False,False,-18.226008,127.666046,LHN503,WA Country Health Service,PHN503,Country WA
H0644,Broome Hospital,False,False,-17.960975,122.236289,LHN503,WA Country Health Service,PHN503,Country WA
H0645,Derby Hospital,False,False,-17.306339,123.633399,LHN503,WA Country Health Service,PHN503,Country WA
H0646,Wyndham Hospital,False,False,-15.477793,128.127772,LHN503,WA Country Health Service,PHN503,Country WA
