
============================================================
  VIC — 0 practitioners already collected
============================================================


--- VIC | Male ---
    [Male] AB: +83 new (reported 233)
    [Male] AC: +77 new (reported 311)
    [Male] AD: +69 new (reported 377)
    [Male] AE: +82 new (reported 550)
    [Male] AF: +71 new (reported 86)
    [Male] AG: +72 new (reported 422)
    [Male] AH: +61 new (reported 754)
    [Male] AI: +86 new (reported 736)
    [Male] AJ: +68 new (reported 99)
    [Male] AK: +66 new (reported 345)
    [Male] AL: +65 new (reported 812)
    [Male] AM: +84 new (reported 524)
    [Male] AN: +89 new (reported 2210)
    [Male] AO: +64 new (reported 551)
    [Male] AP: +74 new (reported 177)
    [Male] AQ: +56 new (reported 158)
    [Male] AR: +71 new (reported 1087)
    [Male] AS: +68 new (reported 504)
    [Male] AT: +72 new (reported 569)
    [Male] AU: +73 new (reported 683)
    [Male] AV: +77 new (reported 212)
    [Male] AW: +67 new (reported 751)
    [Male] AX: +35 new (reported 27)
    [Male] AY: +61 new (reported 833)
    [Male] AZ: +69 new (reported 125)
    [Male] BA: +37 new (reported 413)
    [Male] BC: +63 new (reported 47)
    [Male] BD: +43 new (reported 86)
    [Male] BE: +55 new (reported 424)
    [Male] BF: +7 new (reported 4)
    [Male] BH: +69 new (reported 101)
    [Male] BI: +64 new (reported 240)
    [Male] BJ: +6 new (reported 13)
    [Male] BL: +74 new (reported 470)
    [Male] BM: +2 new (reported 3)
    [Male] BN: +78 new (reported 118)
    [Male] BO: +49 new (reported 239)
    [Male] BP: +27 new (reported 22)
    [Male] BR: +58 new (reported 367)
    [Male] BS: +72 new (reported 64)
    [Male] BT: +35 new (reported 55)
    [Male] BU: +63 new (reported 233)
    [Male] BW: +32 new (reported 78)
    [Male] BX: +6 new (reported 5)
    [Male] BY: +61 new (reported 118)
    [Male] BZ: +16 new (reported 20)
    [Male] CA: +36 new (reported 582)
    [Male] CB: +27 new (reported 21)
    [Male] CD: +64 new (reported 178)
    [Male] CE: +65 new (reported 288)
    [Male] CF: +30 new (reported 23)
    [Male] CG: +66 new (reported 322)
    [Male] CH: +71 new (reported 931)
    [Male] CI: +80 new (reported 240)
    [Male] CJ: +3 new (reported 4)
    [Male] CK: +53 new (reported 584)
    [Male] CL: +60 new (reported 231)
    [Male] CM: +66 new (reported 81)
    [Male] CN: +70 new (reported 268)
    [Male] CO: +54 new (reported 647)
    [Male] CP: +6 new (reported 19)
    [Male] CQ: +40 new (reported 287)
    [Male] CR: +80 new (reported 251)
    [Male] CS: +48 new (reported 37)
    [Male] CT: +46 new (reported 153)
    [Male] CU: +67 new (reported 360)
    [Male] CV: +3 new (reported 20)
    [Male] CW: +4 new (reported 287)
    [Male] CX: +15 new (reported 16)
    [Male] CY: +71 new (reported 181)
    [Male] CZ: +52 new (reported 485)
    [Male] DA: +23 new (reported 559)
    [Male] DB: +45 new (reported 35)
    [Male] DC: +78 new (reported 70)
    [Male] DE: +71 new (reported 616)
    [Male] DF: +80 new (reported 53)
    [Male] DG: +73 new (reported 113)
    [Male] DH: +63 new (reported 323)
    [Male] DI: +43 new (reported 485)
    [Male] DJ: +9 new (reported 13)
    [Male] DK: +7 new (reported 60)
    [Male] DL: +70 new (reported 109)
