=== Phase 1: Checking 128 dense suburbs against live AHPRA ===

  [1/128] Sydney, NSW 2000: AHPRA=709, scraped=100, diff=609 *** MISSING DATA
  [2/128] Surry Hills, NSW 2010: AHPRA=132, scraped=100, diff=32 *** MISSING DATA
  [3/128] Artarmon, NSW 2064: AHPRA=683, scraped=100, diff=583 *** MISSING DATA
  [4/128] Frenchs Forest, NSW 2086: AHPRA=394, scraped=100, diff=294 *** MISSING DATA
  [5/128] Mona Vale, NSW 2103: AHPRA=117, scraped=100, diff=17 *** MISSING DATA
  [6/128] Strathfield, NSW 2135: AHPRA=162, scraped=100, diff=62 *** MISSING DATA
  [7/128] Concord West, NSW 2138: AHPRA=0, scraped=100, diff=-100 (ok)
  [8/128] Parramatta, NSW 2150: AHPRA=0, scraped=100, diff=-100 (ok)
  [9/128] Castle Hill, NSW 2154: AHPRA=0, scraped=100, diff=-100 (ok)
  [10/128] Hurstville, NSW 2220: AHPRA=0, scraped=100, diff=-100 (ok)
  [11/128] North Tamworth, NSW 2340: AHPRA=0, scraped=100, diff=-100 (ok)
  [12/128] Taree, NSW 2430: AHPRA=0, scraped=100, diff=-100 (ok)
  [13/128] Coffs Harbour, NSW 2450: AHPRA=0, scraped=100, diff=-100 (ok)
  [14/128] Lismore, NSW 2480: AHPRA=0, scraped=100, diff=-100 (ok)
  [15/128] Cudgen, NSW 2487: AHPRA=0, scraped=100, diff=-100 (ok)
  [16/128] Campbelltown, NSW 2560: AHPRA=0, scraped=100, diff=-100 (ok)
  [17/128] Wahroonga, NSW 2076: AHPRA=0, scraped=100, diff=-100 (ok)
  [18/128] Mosman, NSW 2088: AHPRA=0, scraped=100, diff=-100 (ok)
  [19/128] Burwood, NSW 2134: AHPRA=0, scraped=100, diff=-100 (ok)
  [20/128] Auburn, NSW 2144: AHPRA=0, scraped=100, diff=-100 (ok)
  [21/128] Bella Vista, NSW 2153: AHPRA=0, scraped=100, diff=-100 (ok)
  [22/128] Dubbo, NSW 2830: AHPRA=0, scraped=100, diff=-100 (ok)
  [23/128] Chatswood, NSW 2067: AHPRA=0, scraped=100, diff=-100 (ok)
  [24/128] Spring Hill, QLD 4000: AHPRA=0, scraped=100, diff=-100 (ok)
  [25/128] South Brisbane, QLD 4101: AHPRA=0, scraped=100, diff=-100 (ok)
  [26/128] Greenslopes, QLD 4120: AHPRA=0, scraped=100, diff=-100 (ok)
